wavelength_nm, transmission
1.562322322322322407e+03,7.828966944820568707e-03
1.562422422422422414e+03,7.911183169913491714e-03
1.562522522522522422e+03,7.994925169325718325e-03
1.562622622622622657e+03,8.080229867682420242e-03
1.562722722722722665e+03,8.167135318351162118e-03
1.562822822822822900e+03,8.255680744910490546e-03
1.562922922922922908e+03,8.345906584398914835e-03
1.563023023023022915e+03,8.437854532438752650e-03
1.563123123123123150e+03,8.531567590324678346e-03
1.563223223223223158e+03,8.627090114172121862e-03
1.563323323323323393e+03,8.724467866236849251e-03
1.563423423423423401e+03,8.823748068506222578e-03
1.563523523523523636e+03,8.924979458685571715e-03
1.563623623623623644e+03,9.028212348695838566e-03
1.563723723723723651e+03,9.133498685818130028e-03
1.563823823823823886e+03,9.240892116615707225e-03
1.563923923923923894e+03,9.350448053782531299e-03
1.564024024024024129e+03,9.462223746072364119e-03
1.564124124124124137e+03,9.576278351466431180e-03
1.564224224224224145e+03,9.692673013759596501e-03
1.564324324324324380e+03,9.811470942738390044e-03
1.564424424424424387e+03,9.932737498151019209e-03
1.564524524524524622e+03,1.005654027767488752e-02
1.564624624624624630e+03,1.018294920909532456e-02
1.564724724724724638e+03,1.031203664693004611e-02
1.564824824824824873e+03,1.044387747374630852e-02
1.564924924924924881e+03,1.057854920642522546e-02
1.565025025025025116e+03,1.071613210766140037e-02
1.565125125125125123e+03,1.085670930298300065e-02
1.565225225225225131e+03,1.100036690361117647e-02
1.565325325325325366e+03,1.114719413549224505e-02
1.565425425425425374e+03,1.129728347485622203e-02
1.565525525525525609e+03,1.145073079068317616e-02
1.565625625625625617e+03,1.160763549447705288e-02
1.565725725725725624e+03,1.176810069778302763e-02
1.565825825825825859e+03,1.193223337789810386e-02
1.565925925925925867e+03,1.210014455227177189e-02
1.566026026026026102e+03,1.227194946211598858e-02
1.566126126126126110e+03,1.244776776577973323e-02
1.566226226226226117e+03,1.262772374248998485e-02
1.566326326326326353e+03,1.281194650708773752e-02
1.566426426426426360e+03,1.300057023644326376e-02
1.566526526526526595e+03,1.319373440828200232e-02
1.566626626626626603e+03,1.339158405319495343e-02
1.566726726726726838e+03,1.359427002067278845e-02
1.566826826826826846e+03,1.380194926005066415e-02
1.566926926926926853e+03,1.401478511733504628e-02
1.567027027027027088e+03,1.423294764892338825e-02
1.567127127127127096e+03,1.445661395333609767e-02
1.567227227227227331e+03,1.468596852213641633e-02
1.567327327327327339e+03,1.492120361130511684e-02
1.567427427427427347e+03,1.516251963445548745e-02
1.567527527527527582e+03,1.541012557933343907e-02
1.567627627627627589e+03,1.566423944920832326e-02
1.567727727727727824e+03,1.592508873084209214e-02
1.567827827827827832e+03,1.619291089087621788e-02
1.567927927927927840e+03,1.646795390261438993e-02
1.568028028028028075e+03,1.675047680532853328e-02
1.568128128128128083e+03,1.704075029839566616e-02
1.568228228228228318e+03,1.733905737274427095e-02
1.568328328328328325e+03,1.764569398229061392e-02
1.568428428428428333e+03,1.796096975827945683e-02
1.568528528528528568e+03,1.828520876964918190e-02
1.568628628628628576e+03,1.861875033283572067e-02
1.568728728728728811e+03,1.896194987468162452e-02
1.568828828828828819e+03,1.931517985244489768e-02
1.568928928928928826e+03,1.967883073523255671e-02
1.569029029029029061e+03,2.005331205154915059e-02
1.569129129129129069e+03,2.043905350806058882e-02
1.569229229229229304e+03,2.083650618512243244e-02
1.569329329329329312e+03,2.124614381507389238e-02
1.569429429429429319e+03,2.166846414989399144e-02
1.569529529529529555e+03,2.210399042532106006e-02
1.569629629629629562e+03,2.255327292925742369e-02
1.569729729729729797e+03,2.301689068293284041e-02
1.569829829829829805e+03,2.349545324409471267e-02
1.569929929929930040e+03,2.398960264237852760e-02
